entity_id,state,last_changed
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:34:14.789Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T11:38:04.780Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:41:14.768Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T11:41:54.767Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:54:04.729Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T11:56:34.723Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T11:57:34.716Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:05:34.692Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:06:54.689Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:09:24.679Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:24:34.636Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:28:24.629Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:29:04.622Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:30:14.619Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:30:54.613Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:31:04.617Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:31:14.614Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:31:24.614Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:31:44.611Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:34:34.603Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:37:44.594Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T12:47:04.568Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T12:55:24.541Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T13:04:34.512Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T13:06:14.504Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T13:09:44.494Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T13:12:24.487Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T13:15:54.476Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T13:43:24.397Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T13:43:34.391Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T14:16:14.287Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T14:16:34.289Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T14:33:34.240Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T14:39:24.220Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T14:39:34.217Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T14:39:44.214Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T14:40:54.215Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T14:41:54.212Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T17:34:03.681Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T17:34:43.676Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T17:44:43.644Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T17:44:53.645Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T18:01:43.593Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T18:02:43.589Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T18:02:53.586Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T18:09:03.572Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T18:11:53.566Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T18:18:33.542Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T18:37:33.483Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T18:38:03.493Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T18:38:13.482Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T18:38:23.482Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:00:53.411Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:08:03.387Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:11:23.378Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:12:03.375Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:15:03.367Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:30:03.319Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:30:13.324Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:30:23.319Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:30:33.316Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:32:13.313Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:33:43.313Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:36:03.302Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:36:23.301Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:36:33.299Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:37:53.297Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:38:03.298Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:39:33.295Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:39:53.290Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:40:13.290Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:58:13.230Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:58:23.233Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:58:33.233Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T19:59:03.234Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T19:59:43.227Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T20:15:33.178Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T20:15:43.179Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T20:16:33.175Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T20:16:43.178Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T20:18:53.173Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T20:19:13.171Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T20:21:33.163Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T20:21:43.166Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T20:22:33.162Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T20:30:23.135Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T20:30:33.137Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T21:10:33.009Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T21:11:23.005Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T21:29:52.953Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T21:33:02.944Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T22:11:42.824Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T22:11:52.821Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T22:12:52.819Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T22:13:02.821Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T22:13:12.816Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T22:13:22.816Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T22:13:32.816Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T22:13:52.820Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T22:14:02.817Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T22:14:12.813Z
sensor.airsense2_bme680_temperature,11.5,2026-01-05T22:14:22.813Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T22:16:32.810Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T22:59:52.676Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:00:02.674Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:01:02.675Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:01:42.664Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:01:52.664Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:02:02.664Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:02:22.671Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:03:02.663Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:07:32.648Z
sensor.airsense2_bme680_temperature,11.4,2026-01-05T23:08:42.649Z
sensor.airsense2_bme680_temperature,11.3,2026-01-05T23:14:42.630Z
